Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative
2019-05-21,3.085426,2.112184,2.548828,2.208158,1.75623,1.589539
2019-05-22,3.07698,2.102686,2.537938,2.205903,1.752556,1.589366
2019-05-23,3.040968,2.079082,2.51123,2.192728,1.742749,1.58564
2019-05-24,3.046246,2.088581,2.525319,2.195092,1.747654,1.586525
2019-05-28,3.018915,2.072175,2.503093,2.184583,1.740578,1.583289
2019-05-29,2.998152,2.061812,2.487435,2.17508,1.735063,1.579655
2019-05-30,3.006481,2.069008,2.495583,2.181052,1.740585,1.582879
2019-05-31,2.966245,2.049147,2.464098,2.166699,1.733284,1.578879
2019-06-03,2.957448,2.052314,2.463022,2.165139,1.736837,1.579166
2019-06-04,3.022551,2.08743,2.509793,2.192869,1.753818,1.589111
2019-06-05,3.048123,2.094626,2.525364,2.204323,1.757534,1.593398
2019-06-06,3.067948,2.104413,2.537925,2.212998,1.762423,1.596718
2019-06-07,3.098564,2.125713,2.564773,2.228958,1.775232,1.603484
2019-06-10,3.11311,2.134637,2.576743,2.233737,1.778441,1.604722
2019-06-11,3.112522,2.140681,2.578799,2.232861,1.781069,1.604115
2019-06-12,3.106657,2.130319,2.567169,2.231664,1.77687,1.604252
2019-06-13,3.1205,2.136363,2.574578,2.239294,1.781143,1.607792
2019-06-14,3.115807,2.126289,2.569924,2.237294,1.776023,1.607131
2019-06-17,3.118622,2.129217,2.573711,2.238555,1.777535,1.607604
2019-06-18,3.149708,2.155319,2.596467,2.25442,1.792577,1.614268
2019-06-19,3.158037,2.165469,2.60788,2.261011,1.800122,1.617906
2019-06-20,3.18748,2.186638,2.632492,2.275526,1.812123,1.623886
2019-06-21,3.183726,2.178809,2.622984,2.271496,1.806188,1.621498
2019-06-24,3.17962,2.177938,2.620548,2.271188,1.806973,1.622006
2019-06-25,3.148183,2.159089,2.598663,2.257414,1.797486,1.616965
2019-06-26,3.145133,2.160249,2.595775,2.254107,1.796521,1.6151
2019-06-27,3.156169,2.169818,2.605289,2.261502,1.803438,1.618785
